month,strategy,type,variant,params,total_trades,total_return_pct,profit_factor,sharpe_ratio,max_drawdown_pct,win_rate_pct,avg_trade_pct,avg_win_pct,avg_loss_pct,max_consecutive_losses,long_trades,short_trades,long_return_pct,short_return_pct,score,return_1w,return_1m,return_3m,return_6m,return_1y
2025-12,Momentum Accel,Momentum,default,"{""macd_fast"": 8, ""macd_slow"": 21, ""macd_sig"": 5, ""adx_len"": 10, ""adx_thresh"": 20, ""atr_mult"": 1.3}",113,-38.95,0.294,-1.714,39.71,19.5,-0.4449,0.9506,-0.7823,18,60,53,-23.84,-26.44,-0.0127,-9.67,-38.95,-38.95,-38.95,-38.95
2025-12,Momentum Accel,Momentum,v2,"{""macd_fast"": 8, ""macd_slow"": 21, ""macd_sig"": 5, ""adx_len"": 10, ""adx_thresh"": 20, ""atr_mult"": 1.3}",113,-38.95,0.294,-1.714,39.71,19.5,-0.4449,0.9506,-0.7823,18,60,53,-23.84,-26.44,-0.0127,-9.67,-38.95,-38.95,-38.95,-38.95
2025-12,RSI Momentum,Momentum,v4,"{""rsi_len"": 10, ""rsi_long_entry"": 60, ""rsi_short_entry"": 40, ""rsi_long_exit"": 80, ""rsi_short_exit"": 20, ""atr_mult"": 1.5}",124,-39.29,0.192,-2.202,40.27,19.4,-0.4148,0.5094,-0.6366,23,71,53,-27.99,-23.45,-0.0105,-15.4,-39.29,-39.29,-39.29,-39.29
2025-12,Ensemble Vote,Ensemble,default,"{""ema_fast"": 9, ""ema_slow"": 21, ""rsi_len"": 7, ""macd_fast"": 12, ""macd_slow"": 26, ""stoch_len"": 14, ""bb_len"": 20, ""min_votes"": 3, ""atr_mult"": 1.3}",131,-40.59,0.321,-0.983,41.42,20.6,-0.4049,0.9294,-0.7513,14,65,66,-23.16,-29.89,-0.0076,-12.81,-40.59,-40.59,-40.59,-40.59
2025-12,Ensemble Vote,Ensemble,v2,"{""ema_fast"": 9, ""ema_slow"": 21, ""rsi_len"": 7, ""macd_fast"": 12, ""macd_slow"": 26, ""stoch_len"": 14, ""bb_len"": 20, ""min_votes"": 3, ""atr_mult"": 1.3}",131,-40.59,0.321,-0.983,41.42,20.6,-0.4049,0.9294,-0.7513,14,65,66,-23.16,-29.89,-0.0076,-12.81,-40.59,-40.59,-40.59,-40.59
2025-12,Scalp EMA,Trend-Scalp,v1,"{""fast"": 3, ""mid"": 8, ""slow"": 21, ""atr_mult"": 1.0}",87,-41.86,0.175,-0.914,42.64,16.1,-0.6459,0.8527,-0.9333,20,49,38,-20.07,-36.13,-0.0038,-19.47,-41.86,-41.86,-41.86,-41.86
2025-12,Ensemble Vote,Ensemble,v4,"{""ema_fast"": 9, ""ema_slow"": 21, ""rsi_len"": 7, ""macd_fast"": 12, ""macd_slow"": 26, ""stoch_len"": 14, ""bb_len"": 20, ""min_votes"": 2, ""atr_mult"": 1.0}",149,-43.84,0.309,-1.071,44.93,18.1,-0.397,0.9812,-0.702,14,71,78,-18.13,-41.02,-0.0074,-13.47,-43.84,-43.84,-43.84,-43.84
2025-10,Momentum Accel,Momentum,v3,"{""macd_fast"": 12, ""macd_slow"": 26, ""macd_sig"": 9, ""adx_len"": 14, ""adx_thresh"": 22, ""atr_mult"": 1.5}",68,-44.95,0.879,-0.146,60.63,30.9,-0.2705,6.3462,-3.2268,12,32,36,-46.37,27.98,-0.0021,-11.73,-44.95,-44.95,-44.95,-44.95
2025-10,Confluence,Multi-Indicator,default,"{""ema_fast"": 8, ""ema_slow"": 21, ""rsi_len"": 14, ""stoch_len"": 14, ""atr_mult"": 1.5}",78,-51.93,0.731,-0.273,61.06,26.9,-0.4967,5.0169,-2.528,19,45,33,-75.56,36.82,-0.0033,-15.17,-51.93,-51.93,-51.93,-51.93
2025-10,Confluence,Multi-Indicator,v2,"{""ema_fast"": 8, ""ema_slow"": 21, ""rsi_len"": 14, ""stoch_len"": 14, ""atr_mult"": 1.5}",78,-51.93,0.731,-0.273,61.06,26.9,-0.4967,5.0169,-2.528,19,45,33,-75.56,36.82,-0.0033,-15.17,-51.93,-51.93,-51.93,-51.93
