trade_id,entry_date,exit_date,direction,strategy,entry_price,exit_price,size_pct,profit_pct,profit_usd,bars_held,exit_reason
1,2021-07-21,2021-07-24,short,H1,29941.93187982845,33299.002657914716,14.360388419216688,-10.0816,-1447.76,3,H1 Stop
2,2022-10-27,2022-11-09,long,H1,20795.02174392246,19519.12890280596,61.16370912692734,-6.1356,-3698.41,13,H1 Stop
3,2022-12-07,2022-12-20,long,H1,17102.72878439266,16324.570342941832,40.10773338537736,-4.5499,-1730.95,13,H1 Stop
4,2022-12-27,2023-01-11,short,H1,16883.181790066144,17347.284590136092,29.129101567051446,-2.6754,-725.72,15,H1 Stop
5,2023-01-11,2023-01-21,long,H1,17454.33923211094,21137.112419527653,88.47908054910175,21.0995,17249.27,10,H1 Stop
6,2023-04-12,2023-04-21,long,H1,30291.197045518053,28304.190038147277,46.68753448258392,-6.5597,-3357.98,9,H1 Stop
7,2023-07-21,2023-08-18,short,H1,29757.254488825332,27970.904395997157,34.24446985587924,6.3865,2324.54,28,H1 Stop
8,2023-08-18,2023-08-30,short,H1,26475.08568264982,27717.598068167797,36.894651776080806,-4.4828,-1796.35,12,H1 Stop
9,2024-01-09,2024-01-13,long,H1,46983.12174677873,43584.71740119627,47.78535312407616,-7.2332,-3692.04,4,H1 Stop
10,2024-04-15,2024-05-15,short,H1,65686.90738724152,61630.682118779165,16.347975580211045,6.5815,1109.56,30,H1 Time Exit
11,2024-06-15,2024-07-15,short,H1,65945.06765840019,60782.272145764764,26.806257043450238,8.4939,2373.31,30,H1 Stop
12,2025-02-26,2025-03-03,short,H1,88667.0135663622,92845.33880745182,25.78062719989328,-4.5003,-1236.87,5,H1 Stop
13,2025-04-08,2025-04-13,short,H1,79100.1129753102,86567.60171092626,19.3458895909056,-8.6262,-1758.44,5,H1 Stop
