date,open,high,low,close,volume
2025-02-13 20:00:00,96294.8515625,96758.71875,96294.8515625,96459.5390625,0
2025-02-13 22:00:00,96475.9375,96635.0234375,96307.3515625,96635.0234375,0
2025-02-14 00:00:00,96619.46875,96904.4609375,96410.453125,96528.9921875,174026752
2025-02-14 02:00:00,96546.3046875,97163.3828125,96496.953125,97135.3046875,0
2025-02-14 04:00:00,97128.875,97196.390625,96606.828125,96718.59375,251568128
2025-02-14 06:00:00,96691.8984375,97068.9140625,96637.140625,96987.0625,0
2025-02-14 08:00:00,96959.125,97144.6953125,96819.8828125,97125.2421875,488927232
2025-02-14 10:00:00,97133.296875,97190.4609375,96850.2578125,96908.1484375,128049152
2025-02-14 12:00:00,96899.21875,96963.0,96491.5078125,96816.3984375,179136512
2025-02-14 14:00:00,96807.546875,97576.1171875,96385.234375,96957.0390625,224151552
2025-02-14 16:00:00,96946.6328125,98803.4921875,96585.59375,98700.9453125,2136637440
2025-02-14 18:00:00,98557.3203125,98694.6171875,97778.40625,97927.0,1712160768
2025-02-14 20:00:00,97971.6640625,98237.5625,96774.5703125,97487.7890625,1575866368
2025-02-14 22:00:00,97491.8828125,97563.03125,97016.3203125,97524.21875,649467904
2025-02-15 00:00:00,97502.3671875,97813.6953125,97277.6484375,97812.96875,141225984
2025-02-15 02:00:00,97807.7265625,97967.2734375,97656.984375,97699.7265625,514560000
2025-02-15 04:00:00,97697.5234375,97783.59375,97491.1328125,97602.203125,0
2025-02-15 06:00:00,97604.9140625,97661.3125,97390.5625,97391.671875,0
2025-02-15 08:00:00,97380.78125,97593.125,97333.7890625,97559.6953125,589467648
2025-02-15 10:00:00,97567.0390625,97724.453125,97465.6875,97623.078125,481648640
2025-02-15 12:00:00,97625.125,97909.6171875,97581.6953125,97758.671875,0
2025-02-15 14:00:00,97742.4453125,97742.4453125,97484.6796875,97640.9921875,0
2025-02-15 16:00:00,97641.4921875,97704.515625,97353.421875,97403.1171875,0
2025-02-15 18:00:00,97411.765625,97657.6171875,97410.0625,97574.125,0
2025-02-15 20:00:00,97562.640625,97695.703125,97450.7578125,97673.296875,0
2025-02-15 22:00:00,97687.375,97743.703125,97464.0546875,97579.46875,488832000
2025-02-16 00:00:00,97586.359375,97717.9140625,97574.328125,97659.6171875,0
2025-02-16 02:00:00,97656.5625,97656.5625,97472.5234375,97558.046875,645299200
2025-02-16 04:00:00,97559.0078125,97648.3515625,97493.84375,97618.9921875,600890368
2025-02-16 06:00:00,97616.484375,97625.2265625,97234.515625,97243.625,0
2025-02-16 08:00:00,97258.953125,97370.4921875,97086.625,97370.4921875,860876800
2025-02-16 10:00:00,97355.0390625,97375.765625,97190.859375,97338.5703125,1209800704
2025-02-16 12:00:00,97343.0,97343.0,96836.9375,96888.46875,603999232
2025-02-16 14:00:00,96871.046875,97079.1953125,96696.9609375,96984.8046875,582150144
